rollNo,studentName,math,physics,chemistry,grade
579712,Megan Downs,21,48,28,F
560314,David Rivas,63,79,30,C
553563,Jonathan Jones,39,20,80,D
558410,Matthew Smith,88,25,43,C
551225,Tracy Mays,77,100,90,A
575096,Joshua Dawson,54,63,69,B
568798,Michelle Leon,15,70,27,D
564129,Barbara Washington,45,15,35,F
570884,Cassandra Frye,66,17,13,F
587984,Brent Espinoza,10,80,42,D
563675,Jonathan Huffman,84,79,36,B
505724,Jonathan Austin,91,24,41,C
583321,Kelli Gutierrez,11,95,98,B
539298,Brandon Schmidt,50,36,42,D
517841,Thomas Cummings,76,62,94,B+
576429,William Martin,84,27,34,D
553301,Brandon Mata,41,19,99,C
586005,Carrie Pennington,66,84,15,C
560491,Ashley Holmes,64,45,64,C
577837,Dakota Stewart,57,14,46,D
553317,Mrs. Colleen Butler MD,78,22,36,D
589571,Judy Taylor,40,33,11,F
585083,John Howell,47,19,16,F
562822,Paul Hill,18,47,68,D
527096,Mackenzie King,91,68,91,A
555193,Patricia Martin,19,76,41,D
551946,Ashley Jackson,95,43,86,B+
540818,Tracy Rivera,30,23,96,D
534194,Derek Turner,30,11,45,F
539490,James Roy,35,84,76,B
552589,Lisa Underwood,54,46,23,D
517957,Kyle Johnson,49,38,14,D
538779,Karen Rangel,54,60,29,D
563790,Nancy Nash,39,60,40,D
539377,Pamela Mccall,72,95,40,B
598483,Wendy Jones,60,56,54,C
591154,Henry Kelley,32,49,26,D
591371,Grace Ramirez,13,33,32,F
521543,Gregory Hudson,30,57,69,C
572993,Samuel Aguilar,86,27,59,C
500801,Timothy Munoz,64,87,70,B+
516717,Nathan Savage,57,18,76,D
528265,Andrew Welch,62,88,42,B
517869,Zachary Cain,15,93,76,B
525365,Lori Solomon,99,35,79,B+
512328,Tyrone Young,49,36,42,D
560107,Mary Jimenez,61,50,65,C
571666,Jessica Kidd,88,69,23,C
535114,Jonathan Shaw,94,95,16,B
517532,Joseph Lee,15,49,66,D
519423,Lori Henderson,79,62,62,B
548215,Angela Lawrence,91,26,51,C
567402,Wanda Williams,47,22,70,D
507643,Jordan Whitaker,70,100,11,C
540021,Timothy Smith,59,68,28,C
588804,Jason Stanley,100,79,40,B+
577810,Tamara Daniels,82,93,67,B+
507045,Katherine Thomas,20,68,76,C
562023,Margaret Hubbard,70,87,93,A
586934,Tammy Simmons,85,38,74,B
567688,Stephanie Baker,96,20,25,D
537838,Beth Hill,41,40,17,F
571162,Justin Conley,31,27,73,D
596418,Aaron Perez,20,49,78,D
533002,Kristi Leonard,34,91,61,B
567351,Larry Hansen,61,95,87,A
546553,Aaron Murray,89,41,74,B
532200,Brian Randall,10,35,88,D
598586,Amanda Valentine,88,63,72,B+
531460,Kathryn Beasley,60,54,68,C
587459,Stephanie Whitaker,63,29,100,B
576781,Megan Hardy,48,70,47,C
584812,Stephanie Miller,49,60,62,C
526160,Sarah Smith,56,15,37,D
579067,Jill Miller,74,98,29,B
527239,Christy Ibarra,81,21,59,C
514067,Laura Terry,63,43,39,D
568753,Jeffrey Cook,89,22,63,C
535428,David Ortega,89,78,80,A
585089,Douglas Mueller,43,46,29,D
511990,Rebecca Dixon,31,32,11,F
547152,Tina Gutierrez,67,69,62,B
563870,Sandra Jones,28,19,53,D
500644,Brian Gibson,50,79,24,C
557896,Gloria Bryant,17,92,41,D
554335,Courtney Black,71,100,15,B
544781,Jennifer Pierce,66,28,28,D
570623,Nathan Newman,13,60,37,D
512895,Lori Ashley,70,55,82,B
599432,James Hamilton,53,26,74,C
543600,Ronald Wilson,63,41,75,C
594270,Matthew Harrison,89,65,41,B
588196,Wesley Campbell,46,44,52,D
508098,Janet Ford,77,62,68,B
536140,Abigail Robinson,22,65,35,D
560401,Aaron Cox,54,90,70,B+
513198,Chris Sanders,91,36,47,C
588115,Robert Conner,88,38,89,B+
591282,Kayla Johnson,97,28,94,B+
537516,Brenda Gaines,47,20,23,F
580696,Matthew Bradford,42,54,72,C
577149,Harry Burke,65,32,70,C
500852,Jeanette Williams,13,16,46,F
566850,William Garcia,19,59,63,D
525816,Heather Neal,50,64,67,C
581455,Stephanie Lopez,37,20,47,D
593619,Blake Howard,46,100,87,B+
526744,Sheila Adams,25,32,21,F
514245,Amanda Lee DVM,41,14,52,D
594734,Timothy Bentley,23,84,49,C
540943,Julia Gomez,95,60,81,B+
527724,Courtney Martin,81,38,57,C
568308,Joan Chambers,17,81,40,D
586904,Nicholas Beard,14,72,81,C
561160,James Williams,25,83,83,B
507440,Andrea Ho,71,14,38,D
588325,Tina Fields,16,40,36,F
559636,John Mitchell,45,49,57,D
539021,Samantha Rodriguez,97,23,94,B+
502978,Henry Beasley,22,29,54,D
507801,Matthew Ayers,94,28,64,B
567474,Johnny Kerr,16,63,66,D
587168,Lisa Rosales,99,82,96,A+
517519,Justin White,34,84,97,B+
585691,Oscar Young,62,15,89,C
572343,Elizabeth Nelson,85,40,20,D
528530,Christopher Wells,45,26,77,D
598505,Jill Dunlap,33,76,63,C
578178,Jennifer Riley,29,65,45,D
592589,Jenna Jennings,91,19,33,D
519386,Jessica Wilson,31,10,79,D
583683,Courtney Gallagher,33,79,19,D
545612,John Stevens,90,86,84,A
579187,Lisa Anderson,31,41,10,F
541592,Calvin Cummings,66,100,59,B+
517018,Dylan Clark,12,97,100,B
582662,Susan Thompson,65,60,34,C
536433,Bobby Thompson,32,75,93,B
562069,Crystal Williams,29,36,13,F
516906,David Proctor,81,79,74,B+
514756,Kathy Brown,37,69,91,B
532621,Michael Lucas,60,97,66,B+
585388,Carrie Howell,79,65,74,B+
566773,James Smith,16,71,58,D
566522,Katherine Blake,48,97,30,C
514578,Olivia Robinson,65,88,29,C
569760,Kevin Sanders,73,83,69,B+
550498,Elizabeth Ramos,70,30,57,C
561101,Mr. Christopher Kennedy,16,33,40,F
546405,Nancy Taylor,56,68,49,C
541773,John Marshall,25,39,31,F
550609,Ashley Reed,53,39,12,D
533914,Amber Martin,99,78,86,A
578155,Debra Warner,23,67,70,C
590381,Felicia Johnson,12,49,43,D
526608,Hunter Branch,45,32,10,F
579576,Wesley Gonzalez,75,96,21,B
591233,Eric Park,85,23,47,C
539001,Mrs. Beverly Green,89,93,38,B+
504990,Benjamin Freeman,26,56,61,D
577284,Antonio Robinson,90,82,58,B+
513171,Mary Baker,10,69,40,D
558044,Matthew Chavez,30,13,34,F
579970,Allison Ayala,75,21,89,B
580524,Alexis Dalton,75,11,14,D
534378,Kari Mcdaniel,14,58,23,F
551218,Paul Archer,71,46,16,D
512864,Kyle Barron,14,10,72,F
555096,Brenda Freeman,99,69,51,B+
528565,Courtney Wright,48,13,26,F
516510,Charles Fisher,31,17,12,F
515870,Christy Jackson,79,12,62,C
577129,David Alvarez,83,13,95,B
571941,Brittany Cooper,92,60,30,C
516979,Darren Wilson,74,56,76,B
545332,Joseph Hayes,58,46,58,C
561254,Sharon Rodriguez,50,84,75,B
579518,Andre Stevenson,51,100,59,B
560607,David Gomez,30,66,17,D
593540,Jeffrey Brewer,94,84,50,B+
584436,Richard Christensen,50,32,48,D
536353,Jennifer Harrison,83,83,69,B+
507944,Luis Reed,27,83,56,C
581305,Kevin Shannon,53,79,17,D
597785,Thomas George,64,55,19,D
594452,Brittany Rush,68,36,53,C
502195,Ana Wyatt,67,20,79,C
509847,Theresa Alvarado,78,89,13,C
504709,Steve Odonnell,94,60,94,A
526828,Devon Gonzalez,89,77,59,B+
575392,Mike Bailey,67,91,69,B+
552226,Antonio Martinez,35,44,68,D
523110,Mike Thompson,40,68,48,C
535936,Lance Phillips,21,22,13,F
598501,James Graham,23,51,27,D
516731,Brad Hill,33,60,14,D
543941,Maria Anderson,53,18,73,D
576034,Debra Terry,73,89,96,A
576030,Katherine Yu,12,31,65,D
563190,Cassandra Walker,61,61,77,B
509653,John Adams,43,52,83,C
538383,Collin Smith,74,58,58,B
536084,Kathryn Baker,25,36,69,D
541535,Daisy Beck,91,76,17,B
563094,Chelsea Davis,25,14,23,F
571172,Carrie Morrison,94,59,14,C
599185,Brandon Vaughan,85,40,92,B+
536135,Jessica Cohen,68,42,19,D
557639,John Brown,66,91,53,B
549404,David Smith,68,77,59,B
591468,Craig Castro,59,57,54,C
503628,Erica Howard,23,60,82,C
544489,Jonathan Love,70,45,57,C
590600,Jessica Houston,39,14,55,D
554618,John Hughes,70,28,82,C
571975,Alexander Brewer,67,85,64,B+
594020,Austin Bradford,98,58,58,B+
596278,Sheila Reeves,71,28,10,D
544198,Victoria Shepherd,46,31,26,D
510413,Victoria Barnes,71,52,35,C
556187,Gabriel Pace,88,18,44,D
553756,Mark Rollins,20,58,14,F
514425,Morgan Braun,24,33,42,D
573225,Jacqueline Strong,12,63,27,D
521143,Kenneth Jackson,41,30,50,D
561366,Holly Moore,25,42,85,D
560272,Carol Martinez,33,17,28,F
589935,Kyle Marsh,85,60,58,B
536137,Martin Zuniga,81,36,56,C
529181,Amy Evans,84,89,39,B
575326,Ryan Phillips,65,51,97,B+
598080,Jessica Levy,77,95,54,B+
506214,David Mullins,79,48,28,C
536928,Curtis Schultz,17,50,43,D
530913,Barbara Berry,77,20,48,D
518870,Sabrina Johnson,89,72,61,B+
571853,Jennifer Wallace,39,27,35,D
588964,Carolyn Carroll,64,35,66,C
535536,Ann Obrien,64,74,67,B
560166,Harold Michael,51,30,21,D
526377,Gregory Coleman,72,88,93,A
543264,Jose Lowe,43,37,10,F
564823,Michael Sullivan,78,20,50,D
547448,Dustin Lowe,56,51,98,B
535434,Melanie Anderson,40,97,55,B
573475,Wanda Bates,74,99,58,B+
501833,Cynthia Harding,57,78,100,B+
552846,Carrie Glover,68,30,53,D
571221,Kerry Jackson,78,47,68,B
525862,Danielle Palmer,90,21,37,D
506932,Lauren Estrada,44,58,63,C
514693,Joshua Johnson,14,53,92,C
593311,Lisa Arnold,82,41,71,B
591740,Hannah Stewart,66,65,77,B
583711,Kenneth Stewart,19,62,97,C
561062,Lisa Horn,23,26,84,D
572625,Mrs. Tammy Bright MD,90,86,35,B
587012,Todd Martin,80,76,70,B+
